mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,1024,0.1,6,1389631,False
naive,idxMin,double,,1024,0.1,6,1515235,False
vectorized,idxMin,double,,1024,0.1,7,1508362,False
naive,idxMin,double,,1024,0.1,7,1512941,False
vectorized,idxMin,double,,1024,0.1,8,1514716,False
naive,idxMin,double,,1024,0.1,8,1516294,False
vectorized,idxMin,double,,1024,0.1,9,1501947,False
naive,idxMin,double,,1024,0.1,9,1499207,False
vectorized,idxMin,double,,1024,0.2,0,1530035,False
naive,idxMin,double,,1024,0.2,0,1520541,False
vectorized,idxMin,double,,1024,0.2,1,1512908,False
naive,idxMin,double,,1024,0.2,1,1501021,False
vectorized,idxMin,double,,1024,0.2,2,1506335,False
naive,idxMin,double,,1024,0.2,2,1501766,False
vectorized,idxMin,double,,1024,0.2,3,1508471,False
